	code	subject	province	city	city_id	distance	school_name	school_id	hours	other	winner	you	total	groups
1	2A1	INSTAL. Y MANT. DE EQUIPOS TÉRMICOS Y DE FLUIDOS	Alacant	SANT VICENT DEL RASPEIG	03010442	170	CIPFP	856105	18	Sustitución Indeterminada	2		33	0/5/26
2	2A4	LABORATORIO	Alacant	ALACANT	03010119	175	IES VIRGEN DEL REMEDIO	897817	18	Vacante	5		113	0/10/96
3	2A4	LABORATORIO	Alacant	ALCOI	03000394	136	IES PARE VITÒRIA	889666	18	Vacante                   ING.	3		54	0/5/45
4	2A4	LABORATORIO	Alacant	ALCOI	03000394	136	IES PARE VITÒRIA	212331	18	Vacante			103	0/13/81
5	2A4	LABORATORIO	Alacant	ALCOI	03000394	136	IES PARE VITÒRIA	884057	18	Vacante                   ING.	4		54	0/5/45
6	2A4	LABORATORIO	Alacant	BENEJÚZAR	03014587	211	IES BENEJÚZAR	914211	18	Vacante	1		97	0/5/86
7	2A4	LABORATORIO	Alacant	BENEJÚZAR	03014587	211	IES BENEJÚZAR	914212	18	Vacante	3		94	0/5/83
8	2A4	LABORATORIO	Castelló	CASTELLÓ DE LA PLANA	12004205	12	IES VICENT	913523	14	Vacante	1	55	85	0/19/62
9	2A8	OP. Y EQU.DE ELABORACIÓN DE PRODUCTOS ALIMENTARIOS	Alacant	ALACANT	03010119	175	IES VIRGEN DEL REMEDIO	855801	18	Vacante	3		82	1/4/71
10	2A8	OP. Y EQU.DE ELABORACIÓN DE PRODUCTOS ALIMENTARIOS	Alacant	COCENTAINA	03003760	131	IES PARE ARQUES	912128	9	Vacante	1		56	0/4/46
11	2A8	OP. Y EQU.DE ELABORACIÓN DE PRODUCTOS ALIMENTARIOS	Alacant	XIXONA	03006256	154	IES DE XIXONA	901014	15	Vacante	1		61	0/5/51
12	2A9	OPERACIONES DE PROCESOS	Alacant	ALACANT	03010119	175	IES VIRGEN DEL REMEDIO	913656	14	Vacante	1		58	0/2/54
13	2A9	OPERACIONES DE PROCESOS	València	SILLA	46007943	65	IES MANUEL SANCHIS	914317	8	Vacante	1	22	44	0/4/39
14	207	FÍSICA Y QUÍMICA	València	RIBA-ROJA DE TÚRIA	46020327	56	IES PLA DE	201537	18	Sustitución Indeterminada ING.	1	51	95	1/11/77
15	236	ASESORÍA Y PROCESOS DE IMAGEN PERSONAL	Alacant	ALACANT	03015543	175	IES EL PLA	906127	9	Sustitución Indeterminada	3		51	0/0/49
16	236	ASESORÍA Y PROCESOS DE IMAGEN PERSONAL	Alacant	CREVILLENT	03003978	192	IES MACIÀ ABELA	899576	18	Vacante                     ING.	2		31	0/0/30
17	236	ASESORÍA Y PROCESOS DE IMAGEN PERSONAL	Alacant	ELDA	03005768	168	IES LA TORRETA	904631	9	Sustitución determinada	2		42	0/0/40
18	236	ASESORÍA Y PROCESOS DE IMAGEN PERSONAL	València	ALBAIDA	46000213	122	IES JOSEP SEGRELLES	855805	18	Sustitución Indeterminada ING.	3		26	0/1/25
19	264	ANÁLISIS Y QUÍMICA INDUSTRIAL	Alacant	ALACANT	03010119	175	IES VIRGEN DEL REMEDIO	862113	18	Sustitución Indeterminada	3		62	0/2/57
20	266	ORGANIZACIÓN Y PROYECTOS DE SISTEMAS ENERGÉTICOS	Alacant	PETRER	03015154	167	IES LA CANAL	913073	9	Vacante	1		28	0/1/24
